date,count
3/25/2020,69
3/27/2020,66
3/20/2020,66
3/31/2020,65
3/23/2020,64
3/18/2020,56
3/19/2020,55
3/30/2020,54
3/26/2020,52
4/17/2020,44
4/3/2020,42
3/24/2020,41
3/16/2020,40
3/17/2020,39
4/8/2020,39
4/2/2020,38
4/6/2020,34
4/1/2020,26
4/10/2020,25
4/7/2020,20
4/13/2020,20
4/22/2020,17
4/14/2020,14
3/21/2020,12
4/18/2020,12
4/27/2020,12
4/16/2020,12
3/15/2020,10
4/28/2020,10
4/9/2020,9
4/15/2020,9
3/29/2020,8
4/21/2020,8
4/23/2020,7
4/20/2020,7
4/29/2020,6
2/4/2020,6
3/22/2020,5
3/14/2020,4
4/30/2020,4
4/24/2020,4
2/28/2020,3
1/23/2020,3
1/21/2020,3
1/24/2020,3
3/13/2020,3
2/6/2020,3
2/13/2020,3
3/5/2020,2
3/11/2020,2
3/4/2020,2
2/12/2020,2
3/12/2020,2
2/19/2020,2
1/7/2020,2
3/28/2020,2
1/30/2020,2
2/27/2020,2
5/1/2020,2
1/15/2020,2
1/13/2020,2
1/31/2020,2
3/3/2020,2
1/8/2020,1
2/11/2020,1
3/2/2020,1
2/24/2020,1
1/10/2020 1/15/2020 and 1/21/2020,1
1/14/2020,1
1/17/2020,1
3/31/2020 and 4/6/2020,1
7/13/2018,1
3/10/2020,1
1/6/2020,1
2/20/2020,1
2/26/2020,1
3/27/2020 3/30/2020 and 4/8/2020,1
1/3/2020,1
1/29/2020,1
3/6/2020,1
2/5/2020,1
2/7/2020,1
1/12/2020,1
1/16/2020,1
