notice_date,affected
3/25/2020,7604
3/18/2020,6783
3/31/2020,6398
3/23/2020,6183
3/19/2020,6154
3/26/2020,5276
3/30/2020,5065
3/20/2020,4999
3/27/2020,4835
3/16/2020,4376
4/2/2020,3939
4/8/2020,3862
3/24/2020,3742
4/10/2020,3670
4/27/2020,2839
3/17/2020,2609
4/17/2020,2497
4/1/2020,2485
4/6/2020,2333
4/3/2020,2091
4/28/2020,1941
4/29/2020,1695
4/13/2020,1416
4/16/2020,1298
3/22/2020,1256
4/30/2020,1228
4/9/2020,1204
4/21/2020,1115
4/7/2020,1031
5/1/2020,1026
4/23/2020,1018
4/22/2020,989
4/15/2020,915
3/21/2020,889
4/14/2020,782
3/15/2020,776
3/12/2020,744
3/29/2020,615
4/20/2020,456
5/4/2020,384
4/24/2020,294
3/14/2020,258
4/18/2020,204
3/13/2020,177
3/31/2020 and 4/6/2020,119
3/28/2020,80
5/5/2020,33
3/5/2020,30
3/3/2020,26
